track,svg_path,status,source
Bahrain (endurance),,missing,
Bahrain (outer),,missing,
Bahrain (paddock),,missing,
Bahrain (wec),,missing,
COTA,,missing,
COTA (national),,missing,
Circuit de la Sarthe,,missing,
Circuit de la Sarthe (straight),,missing,
Fuji (chicane),,missing,
Fuji (classic),,missing,
Imola,,missing,
Interlagos,,missing,
Last updated: 2026.02.02. 10:56 CET,,missing,
Monza,,missing,
Monza (curvagrande),,missing,
Paul Ricard,,missing,
Portimao,,missing,
Qatar,,missing,
Qatar (short),,missing,
Sebring,,missing,
Sebring (school),,missing,
Silverstone,,missing,
Spa,,missing,
You can contact me on my discord/YT channel:,,missing,
